side 1 name,side 1 email,side 2 name,side 2 email,winner,# pocketed for player 1,# pocketed for player 2
yoyo,jim.morison@jj.com,JoJo,jo@jj.com,,0,0
yoyo,jim.morison@jj.com,Miley,mikey@example.com,,0,0
yoyo,jim.morison@jj.com,loly,milton@example.com,,0,0
yoyo,jim.morison@jj.com,Jake,jake@gmail.com,,0,0
yoyo,jim.morison@jj.com,Chingiz,jo@jj.com,,0,0
Miley,mikey@example.com,JoJo,jo@jj.com,,0,0
Miley,mikey@example.com,loly,milton@example.com,,0,0
Miley,mikey@example.com,Jake,jake@gmail.com,,0,0
Miley,mikey@example.com,Chingiz,jo@jj.com,,0,0
Jake,jake@gmail.com,JoJo,jo@jj.com,,0,0
Jake,jake@gmail.com,loly,milton@example.com,,0,0
Jake,jake@gmail.com,Chingiz,jo@jj.com,,0,0
